,V
0,-85.47045071128036
1,33.128919579635294
2,22.217575499285303
3,17.02913565556886
4,15.715239004367165
5,14.112305107865701
6,14.445051355980556
7,16.828348497824205
8,16.11842196199904
9,16.766851775717836
10,17.713295728018206
11,17.15878129475716
12,16.829441581980767
13,17.925303535520833
14,16.24343405917356
15,15.32800452287343
16,16.513240056150124
17,14.960135308674296
18,15.780624938123548
19,14.006980010804796
20,13.721574666233746
21,15.399910550632745
22,13.319982598854805
23,13.320818563317934
24,13.06836616884462
25,11.881354678930945
26,9.986706859649123
27,10.739327258008315
28,9.667503588189417
29,10.41277743785336
30,9.21856523288417
31,6.367372002699376
32,7.604156567882841
33,5.535056315112673
34,4.866005614657761
35,1.8047463056068995
36,2.9568525443851983
37,2.368986152516021
38,1.1621143862799372
39,1.1698181076893988
40,-0.428685334702852
41,-0.6054197222296269
42,-3.4240368833870742
43,-1.9649312087815547
44,-4.775067627953855
45,-7.310438071953868
46,-5.633704481560189
47,-7.3525316036021575
48,-10.789420716590627
49,-11.524496271094334
50,-13.620713133810503
51,-13.429096717069939
52,-15.728005496946668
53,-16.584826081189473
54,-21.25398090067127
55,-21.831647818897537
56,-22.821939776541555
57,-24.698267562324343
58,-24.97803751781119
59,-27.906817141145826
60,-33.03978440112275
61,-32.72801007231375
62,-34.973960055126526
63,-40.796476221911355
64,-42.407568241405045
65,-45.491197664878726
66,-47.23441946851655
67,-53.11103060351316
68,-57.673170622861996
69,-60.55276190592709
70,-63.59212857650146
71,-69.42176232506075
72,-72.97228113431683
73,-75.71356356353893
74,-76.44198993859577
75,-79.11173892068958
76,-80.51603533833281
77,-80.96721718286314
78,-82.45918832550483
79,-82.65305720524213
80,-82.63008076917045
81,-83.41175291818229
82,-81.94125003442139
83,-82.63401019212935
84,-83.30417377844012
85,-82.25102713738183
86,-82.82787784341092
87,-82.21425848210498
88,-81.93353867245406
89,-82.81834770110287
90,-82.32768977716447
91,-80.5431486026403
92,-83.97334995761685
93,-82.4836890269436
94,-83.79283948243527
95,-83.09660241613844
96,-83.07246225325954
97,-81.6808072111635
98,-83.09514091675616
99,-83.86822565197274
